,city,district,listed_date,listed_price,transaction_price,transaction_cycle,adjust_price,house_inspection,concerned_number,browse_number,house_type,covered_area,orientation,elevator,transaction_info,cell_name,floors,url
103,浦东,花木,2015-04-09,暂无数据,960,602,1,0,0,暂无数据,3室2厅1厨2卫,142.98㎡,南,有,"单价67143元/平,2016-12-01成交",,高楼层(共14层),https://sh.lianjia.com/chengjiao/107010105077.html
104,浦东,花木,2012-01-07,1330,1310,1902,0,0,0,暂无数据,3室2厅1厨2卫,143.54㎡,南,有,"单价91264元/平,2017-03-23成交",,中楼层(共17层),https://sh.lianjia.com/chengjiao/107000253729.html
105,浦东,花木,2015-04-09,暂无数据,1000,611,0,0,0,暂无数据,3室2厅1厨2卫,149.09㎡,南,有,"单价67074元/平,2016-12-10成交",,中楼层(共13层),https://sh.lianjia.com/chengjiao/107010107989.html
106,浦东,花木,2013-11-29,620,608,1178,0,0,0,暂无数据,3室2厅1厨1卫,138.2㎡,南,有,"单价43995元/平,2017-02-19成交",,低楼层(共29层),https://sh.lianjia.com/chengjiao/107001514469.html
107,浦东,花木,2012-01-07,暂无数据,1200,1752,0,0,0,暂无数据,3室2厅1厨2卫,144.96㎡,南,有,"单价82782元/平,2016-10-23成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107010092159.html
108,浦东,花木,2012-01-07,1480,1350,2027,0,0,0,暂无数据,3室2厅1厨2卫,144.96㎡,南,有,"单价93130元/平,2017-07-26成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107000167689.html
109,浦东,花木,2012-01-07,1440,1355,2129,0,0,0,暂无数据,3室2厅1厨2卫,144.31㎡,南,有,"单价93896元/平,2017-11-05成交",,高楼层(共18层),https://sh.lianjia.com/chengjiao/107002081277.html
110,浦东,花木,2012-01-07,1380,1350,2132,0,0,0,暂无数据,3室2厅1厨2卫,144.01㎡,南,有,"单价93744元/平,2017-11-08成交",,中楼层(共18层),https://sh.lianjia.com/chengjiao/107001998671.html
111,浦东,花木,2017-04-20,1320,1230,252,0,0,28,暂无数据,3室2厅1厨2卫,131.45㎡,暂无数据,有,"单价93572元/平,2017-12-28成交",,低楼层(共12层),https://sh.lianjia.com/chengjiao/107000259343.html
112,浦东,花木,2017-12-27,1320,1295,16,0,0,12,6,3室2厅1厨2卫,131.46㎡,南,有,"单价98510元/平,2018-01-12成交",,中楼层(共12层),https://sh.lianjia.com/chengjiao/107002308045.html
113,浦东,花木,2018-01-31,1010,925,56,1,0,45,2443,3室2厅1厨2卫,134.21㎡,南,有,"单价68922元/平,2018-03-28成交",,中楼层(共14层),https://sh.lianjia.com/chengjiao/107002345127.html
114,浦东,花木,2012-01-07,1230,1225,2190,0,0,0,暂无数据,3室2厅1厨2卫,137.11㎡,南,有,"单价89345元/平,2018-01-05成交",,低楼层(共14层),https://sh.lianjia.com/chengjiao/107000255345.html
115,浦东,花木,2017-10-10,1420,1320,72,0,0,13,暂无数据,3室2厅1厨2卫,147.89㎡,南,有,"单价89256元/平,2017-12-21成交",,低楼层(共25层),https://sh.lianjia.com/chengjiao/107002186297.html
116,浦东,花木,2018-04-03,1450,1420,48,0,0,27,1235,3室2厅1厨2卫,148.55㎡,南,有,"单价95591元/平,2018-05-21成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107100166834.html
117,浦东,花木,2018-05-31,1440,1405,31,1,0,13,1587,3室2厅1厨2卫,144.05㎡,南,有,"单价97536元/平,2018-06-30成交",,低楼层(共18层),https://sh.lianjia.com/chengjiao/107100336344.html
118,浦东,花木,2018-07-21,1450,1420,16,0,0,7,499,3室2厅1厨2卫,143.54㎡,南,有,"单价98928元/平,2018-08-06成交",,中楼层(共17层),https://sh.lianjia.com/chengjiao/107100485757.html
119,浦东,花木,2018-04-08,1420,1418,133,1,0,39,4160,3室2厅1厨2卫,135.85㎡,南,有,"单价104380元/平,2018-08-19成交",,高楼层(共11层),https://sh.lianjia.com/chengjiao/107100181260.html
120,浦东,花木,2018-11-02,1430,1363,12,0,0,4,372,3室2厅1厨2卫,138.01㎡,南,有,"单价98761元/平,2018-11-14成交",,高楼层(共11层),https://sh.lianjia.com/chengjiao/107100778071.html
121,浦东,花木,2012-08-17,2900,2790,1711,0,0,0,暂无数据,4室2厅1厨3卫,278.66㎡,东,无,"单价100123元/平,2017-04-24成交",,低楼层(共3层),https://sh.lianjia.com/chengjiao/107002150289.html
122,浦东,花木,2017-12-20,1600,1580,307,1,0,0,暂无数据,3室2厅1厨2卫,134.45㎡,暂无数据,有,"单价117516元/平,2018-10-23成交",,高楼层(共9层),https://sh.lianjia.com/chengjiao/107002299827.html
123,浦东,花木,2018-07-03,1380,1335,139,1,0,86,6210,3室2厅1厨2卫,144.9㎡,南,有,"单价92133元/平,2018-11-19成交",,中楼层(共17层),https://sh.lianjia.com/chengjiao/107100434526.html
